***************************
 LISFLOOD-FP version 5.99.0
***************************

 This is a modified version 5.9 including Basic Model Interface (BMI) compatibility

***************************

 The model needs therefore be executed accordingly!

***************************

Loading parameters... 
Using acceleration formulation for floodplain flow
Using acceleration formulation for floodplain flow
Reading parameters done.


Start Date: 9/8/2026 
Start Time: 17:10:41 


Loading DEM:	mahanadi.asc
1312x973
BL corner	(440847.597798,2130377.223441)
NODATA_value	-9999.000000
Done.

Loading channel information:	mahanadi.river
1 Channel Segment
377 points in channel segment 0
Xsec  267	w=3489.610 n=0.035 z=73.757
Xsec  268	w=3494.820 n=0.035 z=72.639
Xsec  269	w=3500.010 n=0.035 z=71.506
Xsec  270	w=3505.190 n=0.035 z=70.579
Xsec  271	w=3510.350 n=0.035 z=69.606
Xsec  272	w=3515.510 n=0.035 z=68.790
Xsec  273	w=3520.660 n=0.035 z=67.903
Xsec  274	w=3525.790 n=0.035 z=66.806
Xsec  275	w=3530.910 n=0.035 z=65.648
Xsec  276	w=3536.030 n=0.035 z=64.523
Xsec  277	w=3541.130 n=0.035 z=63.372
Xsec  278	w=3546.220 n=0.035 z=62.152
Xsec  279	w=3551.290 n=0.035 z=60.976
Xsec  280	w=3556.360 n=0.035 z=59.807
Xsec  281	w=3561.420 n=0.035 z=58.595
Xsec  282	w=3566.470 n=0.035 z=57.182
Xsec  283	w=3571.500 n=0.035 z=56.355
Xsec  284	w=3576.530 n=0.035 z=55.428
Xsec  285	w=3581.540 n=0.035 z=54.334
Xsec  286	w=3586.540 n=0.035 z=53.816
Xsec  287	w=3591.540 n=0.035 z=53.028
Xsec  288	w=3596.520 n=0.035 z=52.598
Xsec  289	w=3601.490 n=0.035 z=52.546
Xsec  290	w=3606.460 n=0.035 z=51.976
Xsec  291	w=3611.410 n=0.035 z=51.549
Xsec  292	w=3616.350 n=0.035 z=51.123
Xsec  293	w=3621.280 n=0.035 z=50.100
Xsec  294	w=3626.200 n=0.035 z=49.439
Xsec  295	w=3631.120 n=0.035 z=49.119
Xsec  296	w=3636.020 n=0.035 z=47.944
Xsec  297	w=3640.910 n=0.035 z=46.764
